 #####################################################

  Assembler CPUID and RDTSC       
  CPU AuthenticAMD, Features Code 178BFBFF, Model Code 00660F51 
  AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G 
  Measured - Minimum 2395 MHz, Maximum 2395 MHz 
  Linux Functions 
  get_nprocs() - CPUs 4, Configured CPUs 4 
  get_phys_pages() and size - RAM Size 11.13 GB, Page Size 4096 Bytes 
  uname() - Linux, Niramay, 4.15.0-88-generic 
  #88~16.04.1-Ubuntu SMP Wed Feb 12 04:19:15 UTC 2020, x86_64 


 #####################################################

     Memory Reading Speed Test 64 Bit Version 4.1 

               Start of test Thu Apr  9 14:47:54 2020

  Memory   x[m]=x[m]+s*y[m] Int+   x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       4   37002  32795  32801  43126  33065  20770   7735   6588   8491
       8   19871  35257  33897  46382  34848  33852  19157  16651  23570
      16   18567  11269  30021  34265  29842  29855  17992  18243   8433
      32   31135  24506  29229  30181  24750  26674   5956   6530  18700
      64   23974  22893  27505  26846  24311  24104   9271  14232  15099
     128   25008  22899  24007  25515  22117  23116  12542  10455  12231
     256   15118  17385  15168  22231  25191  19772   9076  10527  11014
     512   22759  19113  18857  20410  18305  25511  12354  13219  12671
    1024    8353   4130   5217   5575   5176   5334   2497   2885   2901
    2048    3702   3675   3597   3451   4708   4709   2435   2277   2072
    4096    4452   4711   4534   4368   4246   4413   2140   2528   2700
    8192    5190   5350   5272   3451   3317   3298   1761   1705   2216
   16384    5044   5250   5178   5330   5251   5277   2622   2633   2601
   32768    4359   5205   5253   5282   5218   5241   2610   2622   2677
   65536    5349   5327   4840   5264   5290   5286   2642   2656   2700
  131072    5308   5313   5255   4884   5309   5330   2661   2675   2723
  262144    5353   5369   5338   5409   5348   5347   2689   2553   2717
  524288    5349   5336   5157   5418   5317   5364   2672   2710   2753
 1048576    5065   5333   5297   5335   5333   5279   2673   2694   2756
 2097152    5384   5363   5366   5378   5338   5348   2627   2385   2650

                End of test Thu Apr  9 14:48:41 2020



