 #####################################################

  Assembler CPUID and RDTSC       
  CPU AuthenticAMD, Features Code 178BFBFF, Model Code 00660F51 
  AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G 
  Measured - Minimum 2395 MHz, Maximum 2395 MHz 
  Linux Functions 
  get_nprocs() - CPUs 4, Configured CPUs 4 
  get_phys_pages() and size - RAM Size 11.13 GB, Page Size 4096 Bytes 
  uname() - Linux, Niramay, 4.15.0-88-generic 
  #88~16.04.1-Ubuntu SMP Wed Feb 12 04:19:15 UTC 2020, x86_64 


 #####################################################

     Memory Reading Speed Test 64 Bit OpenMP v4.1 

               Start of test Thu Apr  9 14:51:53 2020

  Memory   x[m]=x[m]+s*y[m] Int+   x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       4    1553   1399   1517   1517   1531   1605    829    814    811
       8    2904   2861   2721   2504   3124   3253   1644   1656   1641
      16    5441   5215   5434   5555   4866   6420   3032   3222   3243
      32   10906   8890   9257  10166   9139   9477   5640   5008   5643
      64   13029  12025  12075  18550  14750  16171   9540   8029   9213
     128   21458  11887  14511  25238  18164  22202  14597  10688  12027
     256   30974  18252  11761  19500  25680  32098  21585  14005  18242
     512   33919  19384  27267  30557  13334  36431  22297  15736  22163
    1024   36894  19998  27448  46460  17084  18604  29608  16434  24029
    2048    9467  10606  10834   9441  12953  13146   6711   4752   4852
    4096    5138   5158   5171   4530   5172   5244   2619   2432   2512
    8192    5215   4989   5184   4558   5254   5236   2602   2636   2603
   16384    5167   5131   5201   4705   5005   5176   2623   2611   2627
   32768    5221   5082   5169   4894   5206   5257   2615   2355   2625
   65536    5264   5301   5309   4966   5296   5196   2629   2632   2660
  131072    5346   5441   5296   5467   5467   5466   2716   2736   2715
  262144    5521   5554   5561   5544   5558   5591   2761   2785   2788
  524288    5668   5399   5662   5661   5683   5533   2822   2802   2837
 1048576    5798   5754   5785   5779   5803   5815   2879   2903   2828
 2097152    5554   5312   5372   5543   4809   5351   2432   2554   2532

                End of test Thu Apr  9 14:52:40 2020



